City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,new norfolk,-42.7826,147.0587,15.72,53,97,2.45,AU,1679894576
84,gari,59.4307,62.3497,2.75,96,100,3.02,RU,1679894577
85,berlevag,70.8578,29.0864,-3.0,74,75,7.2,NO,1679894577
86,vicuna,-30.0319,-70.7081,13.85,66,0,0.15,CL,1679894578
87,arraial do cabo,-22.9661,-42.0278,24.72,91,9,6.35,BR,1679894579
88,kindu,-2.95,25.95,20.75,92,100,0.97,CD,1679894579
89,winslow,35.0242,-110.6974,3.1,48,0,3.6,US,1679894580
90,hailey,43.5196,-114.3153,-6.08,82,40,2.06,US,1679894580
91,vestmannaeyjar,63.4427,-20.2734,-4.11,77,1,10.61,IS,1679894580
92,monticello,45.3055,-93.7941,-1.03,63,75,3.09,US,1679894340
93,yining,29.0361,114.5636,15.84,55,100,0.44,CN,1679894581
94,los llanos de aridane,28.6585,-17.9182,14.86,94,0,4.12,ES,1679894582
95,mahroni,24.5862,78.7288,29.42,23,0,2.52,IN,1679894582
96,thompson,55.7435,-97.8558,-23.91,70,0,1.54,CA,1679894583
97,palm coast,29.585,-81.2078,24.44,85,0,3.58,US,1679894583
98,kieta,-6.2167,155.6333,29.65,67,10,1.77,PG,1679894584
99,cayenne,4.9333,-52.3333,24.02,88,0,1.03,GF,1679894584
100,chumphon,10.3333,98.8333,36.03,31,52,1.27,TH,1679894585
101,mana,5.6592,-53.7767,24.27,85,28,3.19,GF,1679894585
102,khatanga,71.9667,102.5,-21.17,92,94,3.46,RU,1679894586
103,aranos,-24.1333,19.1167,19.22,36,0,3.73,NA,1679894586
104,torbat-e jam,35.244,60.6225,18.03,31,100,2.8,IR,1679894658
105,aylmer,42.7668,-80.983,4.58,81,60,4.28,CA,1679894523
106,waitara,-38.925,174.25,19.01,80,99,3.5,NZ,1679894658
107,mehamn,71.0357,27.8492,-3.03,63,75,7.2,NO,1679893931
108,pratapgarh,24.0333,74.7833,28.21,23,0,3.64,IN,1679894659
109,doha,25.2867,51.5333,25.99,55,0,2.57,QA,1679894578
110,samarai,-10.6167,150.6667,29.33,72,72,7.11,PG,1679894660
111,marawi,7.9986,124.2928,27.3,64,99,3.6,PH,1679894661
112,avera,33.194,-82.5271,20.73,94,100,4.13,US,1679894661
113,hithadhoo,-0.6,73.0833,27.93,71,96,1.15,MV,1679894661
114,aklavik,68.2191,-135.0107,-7.24,84,100,2.47,CA,1679894663
115,fougamou,-1.2154,10.5838,22.95,98,100,0.58,GA,1679894663
116,labytnangi,66.6572,66.4183,-12.82,84,6,5.56,RU,1679894664
117,talas,38.6908,35.5538,6.37,76,20,0.0,TR,1679894143
118,ilulissat,69.2167,-51.1,-14.99,85,75,3.09,GL,1679894664
119,yulara,-25.2406,130.9889,35.43,18,36,5.03,AU,1679894665
120,salalah,17.0151,54.0924,28.05,74,40,6.17,OM,1679894665
121,uruguaiana,-29.7547,-57.0883,18.96,88,0,3.09,BR,1679894642
122,altayskoye,51.9533,85.3325,6.54,83,98,0.12,RU,1679894666
